2026-04-12 14:14:28 | INFO     | src.services.song_service | Hoàn tất xử lý AI cho song_id=10.
2026-04-12 14:14:37 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (5 bài hát)
2026-04-12 14:14:37 | INFO     | src.recommendation.engine | get_similar_songs: target=9 top_k=5 results=[7, 8, 6, 10]
2026-04-12 14:15:46 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (5 bài hát)
2026-04-12 14:15:46 | INFO     | src.recommendation.engine | get_similar_songs: target=10 top_k=5 results=[6, 8, 7, 9]
2026-04-12 14:17:29 | INFO     | src.services.song_service | Bắt đầu trích xuất features cho song_id=11...
2026-04-12 14:17:29 | WARNING  | src.services.recommend_service | Bài hát 11 chưa được trích xuất đặc trưng.
2026-04-12 14:17:30 | INFO     | src.audio_processing.feature_extraction | Đã trích xuất MFCC cho '91da4d59-60b4-4d64-b697-5d69658bd55a.mp3' trong 1.48s
2026-04-12 14:17:30 | INFO     | src.audio_processing.feature_extraction | Đã lưu vector đặc trưng của song_id=11 vào cache.
2026-04-12 14:17:30 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 6 bài hát (n_neighbors=6)
2026-04-12 14:17:30 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 14:17:30 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 6 bài hát.
2026-04-12 14:17:30 | INFO     | src.services.song_service | Hoàn tất xử lý AI cho song_id=11.
2026-04-12 14:21:03 | INFO     | src.services.song_service | Bắt đầu trích xuất features cho song_id=12...
2026-04-12 14:21:03 | WARNING  | src.services.recommend_service | Bài hát 12 chưa được trích xuất đặc trưng.
2026-04-12 14:21:04 | INFO     | src.audio_processing.feature_extraction | Đã trích xuất MFCC cho '434adaa1-9737-4e8b-9ef7-42860fe6dc18.mp3' trong 1.18s
2026-04-12 14:21:04 | INFO     | src.audio_processing.feature_extraction | Đã lưu vector đặc trưng của song_id=12 vào cache.
2026-04-12 14:21:04 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 7 bài hát (n_neighbors=6)
2026-04-12 14:21:04 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
